city,region,city_type,year,month,season,avg_temperature_c,humidity_pct,population,population_density_per_km2,gdp_per_capita_usd,industrialization_level,industrial_zones_count,num_subscribers,renewable_energy_pct,grid_loss_pct,smart_meter_adoption_pct,peak_demand_hour,monthly_consumption_gwh,avg_wind_speed_kmh,monthly_rainfall_mm,electricity_price_tl_kwh,co2_emission_tons,avg_daily_sunshine_hours,infrastructure_score
Ankara,Central Anatolia,Megacity,2020,1,Winter,-1.06,79.68,5639076,1972.16,18326.94,High,15.0,1821253.0,10.82,16.98,74.14,09:00,5.3779,"79,0",232.4 mm,₺1.11,"482,883",  7.0  ,54%
Manisa,Aegean,Medium City,2023,2,Winter,5.69,56.32,1452881,386.81,14099.01,Medium,3.0,430403.0,32.81,10.37,,09:00,1.0255,"17,4",255.1 mm,₺1.87,"435,617",  9.3  ,68%
Kahramanmaras,Mediterranean,Medium City,2023,12,Winter,6.2,78.8,1178234,290.78,11111.99,Low,4.0,362967.0,26.03,7.72,44.07,18:00,0.8438,"70,7",202.4 mm,₺1.3,"899,133",  3.1  ,79%
Adana,Mediterranean,Large City,2015,12,Winter,7.23,80.48,2237940,708.46,19321.3,High,8.0,641309.0,19.0,18.93,45.71,19:00,1.6301,"22,9",189.2 mm,₺1.4,"87,283",  9.9  ,63%
Trabzon,Black Sea,Medium City,2015,12,Winter,1.12,54.16,811874,748.53,8287.61,Low,3.0,229350.0,39.18,7.28,42.15,08:00,0.4306,"71,2",37.8 mm,₺2.26,"412,313",  4.1  ,38%
Afyonkarahisar,Aegean,Small City,2018,10,Autumn,19.7,80.07,734000,273.57,9100.6,Low,1.0,238226.0,44.24,17.59,54.76,21:00,0.297,"18,2",249.7 mm,,"48,685",  3.1  ,71%
Trabzon,Black Sea,Medium City,2019,8,Summer,,49.62,811874,185.87,9922.41,Low,2.0,268634.0,8.65,7.21,69.92,21:00,0.4411,"46,6",149.1 mm,₺0.98,"9,383",  10.6  ,65%
Izmir,Aegean,Megacity,2020,4,Spring,21.97,44.94,4394694,5961.66,19105.72,High,13.0,1383005.0,30.24,12.12,50.79,21:00,2.6188,"58,6",298.2 mm,₺2.32,"557,521",,85%
Manisa,Aegean,Medium City,2021,3,Spring,18.79,48.17,1452881,359.08,14939.86,Medium,3.0,524580.0,12.79,14.16,48.08,18:00,0.6525,"58,8",83.6 mm,₺0.95,"888,599",  11.9  ,46%
Diyarbakir,Southeastern Anatolia,Large City,2017,9,Autumn,21.45,,1801268,972.11,10224.33,Low,6.0,558029.0,21.38,18.14,10.77,18:00,0.6516,"46,0",11.0 mm,₺2.33,"711,334",  3.9  ,71%
Gaziantep,Southeastern Anatolia,Large City,2016,6,Summer,36.35,69.56,2101263,781.07,19198.12,High,6.0,678620.0,29.24,6.06,,09:00,1.7606,"79,6",127.4 mm,₺1.27,"263,226",  11.9  ,60%
Canakkale,Marmara,Small City,2018,10,Autumn,13.86,42.49,542000,118.15,10612.77,Low,2.0,191112.0,28.52,19.02,69.66,09:00,0.2294,"52,6",142.4 mm,₺1.44,"398,373",  9.1  ,70%
Malatya,Eastern Anatolia,Medium City,2017,1,Winter,-4.56,,781118,160.0,10350.0,Low,1.0,283855.0,14.38,17.13,17.25,10:00,0.4003,"66,0",150.8 mm,₺1.51,"771,230",  11.5  ,81%
Kahramanmaras,Mediterranean,Medium City,2021,12,Winter,9.98,72.66,1178234,641.09,9713.62,Low,2.0,419154.0,13.77,16.01,37.25,18:00,0.6613,"21,7",252.7 mm,₺0.99,"408,795",  9.4  ,99%
Kocaeli,Marmara,Large City,2019,5,Spring,19.69,71.93,2031963,1242.28,19189.44,High,8.0,590237.0,41.15,6.48,61.77,10:00,1.239,"12,4",164.3 mm,₺1.81,"229,817",  7.5  ,43%
Bursa,Marmara,Large City,2022,12,Winter,-2.05,49.41,3056120,2582.14,19808.87,High,10.0,,14.61,6.14,18.32,10:00,2.9048,"57,1",171.1 mm,₺1.49,"816,195",  9.8  ,55%
Istanbul,Marmara,Megacity,2023,10,Autumn,14.44,47.51,15840900,4807.48,14395.14,High,42.0,5421845.0,25.74,9.87,16.04,10:00,10.8457,"46,3",266.0 mm,₺1.34,"227,105",  4.9  ,42%
Manisa,Aegean,Medium City,2020,11,Autumn,17.02,76.19,1452881,532.1,14045.22,Medium,4.0,411423.0,44.07,17.46,52.37,08:00,0.7493,"19,4",,₺1.32,"762,771",  6.2  ,
Bursa,Marmara,Large City,2016,6,Summer,,44.2,3056120,1946.51,17880.21,High,8.0,918581.0,12.81,7.43,42.03,08:00,2.1591,"17,6",176.5 mm,₺0.86,"869,297",  12.0  ,60%
Erzurum,Eastern Anatolia,Medium City,2021,10,Autumn,8.55,67.98,762321,775.27,11891.08,Low,1.0,248421.0,7.91,19.08,71.0,09:00,0.3248,"75,0",217.0 mm,₺0.88,"749,908",  3.0  ,60%
Balıkesir,Marmara,Medium City,2020,7,Summer,29.06,66.84,1264958,683.93,,Low,3.0,379068.0,20.28,6.98,25.44,09:00,0.7616,"7,1",56.0 mm,₺1.36,"892,974",  11.7  ,
Mersin,Mediterranean,Large City,2017,12,Winter,5.38,80.85,1936586,3818.1,13233.49,Medium,4.0,561518.0,19.0,16.84,23.33,19:00,1.1542,"32,3",140.6 mm,₺1.29,"496,577",  5.6  ,41%
Erzurum,Eastern Anatolia,Medium City,2023,7,Summer,22.2,79.94,762321,271.16,9334.95,Low,2.0,263698.0,31.97,17.06,35.87,10:00,0.4769,"5,5",183.1 mm,₺1.46,"488,043",  10.0  ,85%
Sivas,Central Anatolia,Medium City,2018,4,Spring,14.7,67.47,634149,257.22,,Low,3.0,231984.0,27.89,18.99,21.09,10:00,0.183,"26,4",45.3 mm,₺1.69,"273,741",  2.2  ,55%
Adana,Mediterranean,Large City,2018,12,Winter,7.87,70.31,2237940,1805.93,,High,6.0,756903.0,23.79,11.83,33.19,08:00,1.8892,"67,5",36.6 mm,₺1.56,"793,573",  10.3  ,77%
Mardin,Southeastern Anatolia,Small City,2021,5,Spring,20.88,83.4,833645,167.62,5522.11,Low,4.0,240209.0,30.58,11.69,34.56,10:00,0.3388,"25,2",282.6 mm,₺1.46,"452,258",  5.0  ,69%
Denizli,Aegean,Medium City,2015,8,Summer,35.03,42.09,1062840,240.27,12444.23,Medium,3.0,374565.0,21.96,18.73,63.02,20:00,0.6259,"27,3",145.1 mm,₺0.77,"218,184",  10.2  ,52%
Van,Eastern Anatolia,Medium City,2023,2,Winter,,83.33,1126384,231.89,8564.94,Low,2.0,377384.0,44.74,12.33,55.14,08:00,0.623,"33,2",261.7 mm,₺1.79,"712,511",  9.9  ,67%
Van,Eastern Anatolia,Medium City,2020,7,Summer,22.38,49.2,1126384,299.69,8479.88,Low,,378890.0,32.14,17.28,44.14,21:00,0.6273,"58,4",28.0 mm,₺1.16,"325,586",  10.3  ,64%
Samsun,Black Sea,Large City,2017,10,Autumn,15.97,44.71,1361505,443.42,9188.83,Low,4.0,509879.0,34.27,10.76,,10:00,0.5144,"21,4",39.5 mm,₺0.64,,  11.5  ,74%
Samsun,Black Sea,Large City,2018,8,Summer,34.87,58.53,1361505,291.6,8160.39,Low,,409132.0,42.32,19.86,34.65,19:00,0.8085,"39,3",32.5 mm,₺0.72,"98,546",  3.6  ,49%
Samsun,Black Sea,Large City,2019,8,Summer,33.71,59.91,1361505,964.77,11944.0,Low,3.0,472804.0,39.41,8.19,61.1,09:00,0.8111,"7,1",68.8 mm,₺1.63,"263,960",  11.8  ,91%
Konya,Central Anatolia,Large City,2021,1,Winter,-4.4,78.63,2320259,987.51,11857.87,Medium,5.0,692639.0,16.5,14.22,69.07,,1.6195,"35,9",287.2 mm,₺1.2,"286,854",  10.5  ,60%
Kahramanmaras,Mediterranean,Medium City,2016,6,Summer,35.37,,1178234,323.69,5851.0,Low,4.0,408661.0,43.36,7.52,69.34,,0.5678,"9,4",89.0 mm,,"429,770",  2.9  ,52%
Afyonkarahisar,Aegean,Small City,2022,5,Spring,26.25,59.19,734000,501.72,10997.01,Low,1.0,218132.0,8.26,6.32,43.68,20:00,0.2839,"29,3",136.6 mm,₺1.58,"186,431",,44%
Manisa,Aegean,Medium City,2023,3,Spring,22.76,44.45,1452881,1208.5,14233.5,Medium,4.0,416765.0,21.72,10.06,37.06,19:00,0.7556,"12,6",149.2 mm,₺1.5,"703,317",,94%
Adana,Mediterranean,Large City,2023,12,Winter,5.79,69.12,2237940,490.18,21677.57,High,7.0,813328.0,21.14,17.91,43.96,20:00,2.1705,"78,1",18.4 mm,₺1.0,"783,004",  3.0  ,77%
Balıkesir,Marmara,Medium City,2017,8,Summer,32.09,,1264958,929.66,7740.18,Low,4.0,468712.0,33.76,11.3,58.08,21:00,0.5977,"6,1",,₺0.62,"202,118",  6.6  ,78%
Izmir,Aegean,Megacity,2015,2,Winter,5.43,60.05,4394694,917.66,18289.67,High,13.0,1559411.0,40.68,,59.32,18:00,3.5963,"50,3",134.9 mm,₺1.39,"7,387",  7.0  ,47%
Istanbul,Marmara,Megacity,2021,11,Autumn,,43.12,15840900,11162.21,15682.59,High,40.0,5145259.0,39.68,15.04,41.71,09:00,9.6765,"10,9",,,"161,574",  4.0  ,97%
Mersin,Mediterranean,Large City,2017,9,Autumn,25.86,,1936586,695.33,13650.23,Medium,6.0,715699.0,13.25,10.88,23.28,18:00,0.8592,"33,3",133.7 mm,₺0.8,"203,098",  11.0  ,73%
Manisa,Aegean,Medium City,2021,7,Summer,30.62,67.88,1452881,1993.41,12891.4,Medium,3.0,473935.0,25.79,7.86,68.7,09:00,1.0565,"64,4",236.0 mm,₺0.69,"355,264",  4.5  ,39%
Canakkale,Marmara,Small City,2020,4,Spring,18.46,79.98,542000,184.5,6690.5,Low,2.0,160114.0,18.62,13.12,45.99,20:00,0.1891,"25,2",269.6 mm,₺1.63,"471,243",  10.7  ,52%
Mugla,Aegean,Medium City,2018,8,Summer,35.85,76.19,1012321,269.75,6820.36,Low,2.0,356730.0,29.76,5.28,60.26,19:00,0.5198,"68,5",198.3 mm,₺1.87,"20,926",  5.3  ,64%
Tekirdag,Marmara,Medium City,2015,2,Winter,1.71,40.24,1085000,260.65,10954.7,Medium,4.0,361007.0,44.0,5.5,28.92,21:00,0.6651,"39,8",47.6 mm,₺1.7,"886,095",  4.6  ,33%
Mersin,Mediterranean,Large City,2023,6,Summer,36.78,65.9,1936586,396.04,11065.78,Medium,6.0,592196.0,31.52,17.79,41.95,08:00,1.3542,"16,0",134.4 mm,₺1.35,"438,448",  5.3  ,79%
Mardin,Southeastern Anatolia,Small City,2019,9,Autumn,20.14,43.73,833645,236.58,7973.92,Low,2.0,312707.0,43.77,7.96,44.99,08:00,0.3355,"22,6",298.7 mm,₺1.76,"555,323",  6.1  ,43%
Kocaeli,Marmara,Large City,2023,1,Winter,4.46,79.07,2031963,557.4,17600.64,High,6.0,757940.0,18.36,8.58,16.88,20:00,1.8682,"38,8",18.4 mm,₺2.46,"243,846",  9.4  ,90%
Tekirdag,Marmara,Medium City,2023,4,Spring,16.87,73.02,1085000,825.09,13274.46,Medium,2.0,377812.0,23.08,7.35,58.85,08:00,0.5053,"70,4",143.8 mm,₺1.27,"137,959",,61%
Samsun,Black Sea,Large City,2020,10,Autumn,15.2,64.9,1361505,327.95,11217.6,Low,4.0,483975.0,42.17,12.22,53.5,20:00,0.5465,"15,1",197.7 mm,₺0.54,"746,667",  8.1  ,87%
Kahramanmaras,Mediterranean,Medium City,2017,4,Spring,24.84,73.45,1178234,432.3,7631.67,Low,2.0,366681.0,36.95,16.41,55.68,18:00,0.5096,"19,7",,₺2.32,"79,713",  2.9  ,38%
Sivas,Central Anatolia,Medium City,2020,8,Summer,25.71,62.18,634149,449.06,7391.85,Low,2.0,185261.0,7.51,14.94,58.56,20:00,0.3674,"43,4",214.0 mm,₺1.7,"701,278",  7.3  ,
Trabzon,Black Sea,Medium City,2019,6,Summer,31.47,71.95,811874,431.84,9488.59,Low,3.0,274043.0,19.87,14.27,35.63,08:00,0.4684,"65,4",175.3 mm,₺0.67,"539,499",  8.0  ,86%
Afyonkarahisar,Aegean,Small City,2022,2,Winter,6.33,64.6,734000,395.35,7789.29,Low,3.0,,16.29,6.21,57.38,20:00,0.4052,"63,9",220.5 mm,₺0.68,"394,822",  5.4  ,85%
Antalya,Mediterranean,Large City,2023,2,Winter,,62.51,2619832,943.04,9930.75,Low,7.0,916614.0,35.82,17.32,54.99,18:00,1.8597,"55,2",238.5 mm,₺2.28,"618,666",  11.9  ,62%
Sivas,Central Anatolia,Medium City,2020,8,Summer,31.13,59.89,634149,959.21,8122.07,Low,1.0,190429.0,25.38,9.49,37.37,09:00,0.3288,"17,5",,₺1.45,"859,840",  4.5  ,68%
Bursa,Marmara,Large City,2020,1,Winter,,50.22,3056120,1644.63,17714.65,High,10.0,887126.0,21.33,10.3,45.3,10:00,2.3396,"52,9",289.8 mm,,"641,178",  4.7  ,
Trabzon,Black Sea,Medium City,2015,8,Summer,30.11,77.41,811874,506.9,7799.0,Low,3.0,241639.0,41.49,7.09,26.39,20:00,0.4288,"65,1",299.0 mm,₺1.51,"887,792",  5.2  ,52%
Sivas,Central Anatolia,Medium City,2016,11,Autumn,14.14,63.95,634149,300.17,10638.94,Low,2.0,237138.0,13.54,11.4,37.86,10:00,0.2462,"49,2",244.3 mm,₺1.9,"526,725",  7.2  ,75%
Mersin,Mediterranean,Large City,2021,9,Autumn,22.52,46.32,1936586,769.53,12278.1,Medium,4.0,671677.0,42.86,,58.11,20:00,0.9945,"50,4",172.0 mm,₺2.41,"15,332",  6.7  ,45%
Malatya,Eastern Anatolia,Medium City,2018,11,Autumn,6.55,58.9,781118,166.56,6290.67,Low,1.0,266129.0,34.54,16.61,11.47,,0.0844,"71,9",39.8 mm,₺1.05,,  6.4  ,75%
Balıkesir,Marmara,Medium City,2019,2,Winter,-0.93,63.89,1264958,260.53,,Low,4.0,443230.0,5.41,14.39,52.3,,0.7978,"8,3",16.5 mm,₺0.63,"567,329",  3.0  ,59%
Konya,Central Anatolia,Large City,2015,10,Autumn,12.72,55.65,2320259,644.48,9924.18,Medium,5.0,775207.0,19.09,6.89,29.02,09:00,1.1044,"12,9",134.2 mm,₺0.67,"899,144",  12.0  ,86%
Samsun,Black Sea,Large City,2015,6,Summer,30.33,81.42,1361505,491.81,6862.54,Low,4.0,393125.0,5.34,17.5,51.0,20:00,0.6277,"67,5",54.8 mm,₺1.69,"805,577",  7.1  ,98%
Erzurum,Eastern Anatolia,Medium City,2020,11,Autumn,6.77,51.23,762321,442.61,10398.29,Low,3.0,237377.0,40.82,18.64,54.92,09:00,0.3126,,143.6 mm,₺1.84,"422,050",  3.2  ,89%
Erzurum,Eastern Anatolia,Medium City,2023,8,Summer,22.01,,762321,207.48,7055.25,Low,3.0,254120.0,29.22,10.35,60.82,20:00,0.3886,"28,9",290.5 mm,₺1.08,"335,242",  8.7  ,95%
Hatay,Mediterranean,Large City,2016,1,Winter,7.21,58.31,1609856,873.19,7762.56,Low,6.0,523101.0,22.66,12.94,42.06,10:00,0.8015,"48,7",122.6 mm,₺0.55,"71,860",  3.8  ,44%
Konya,Central Anatolia,Large City,2017,7,Summer,28.62,62.59,2320259,1726.28,14018.68,Medium,6.0,657591.0,28.9,5.11,19.59,10:00,1.3628,"32,2",197.5 mm,₺0.68,"424,809",  2.6  ,34%
Balıkesir,Marmara,Medium City,2019,11,Autumn,16.48,69.2,1264958,511.45,7118.4,Low,3.0,400331.0,17.64,13.69,46.45,20:00,0.4915,"31,0",184.9 mm,₺0.82,"484,162",  7.2  ,43%
Denizli,Aegean,Medium City,2021,3,Spring,20.2,66.29,1062840,248.78,13903.08,Medium,3.0,395630.0,26.36,14.49,43.33,21:00,0.5006,"59,7",190.5 mm,₺1.38,"466,888",  7.0  ,41%
Mardin,Southeastern Anatolia,Small City,2020,6,Summer,36.85,44.65,833645,346.49,12121.15,Low,3.0,280209.0,36.58,16.22,26.01,21:00,0.4329,"25,5",195.7 mm,,"861,801",  7.6  ,39%
Istanbul,Marmara,Megacity,2016,4,Spring,15.46,60.19,15840900,14907.09,16534.84,High,42.0,5835606.0,39.76,7.43,32.25,20:00,9.8057,"43,5",80.1 mm,₺0.82,"742,418",  5.2  ,46%
Malatya,Eastern Anatolia,Medium City,2015,9,Autumn,4.46,43.84,781118,210.22,8438.22,Low,1.0,229082.0,32.98,7.08,73.02,21:00,0.2662,"65,3",130.3 mm,₺2.03,"203,483",  2.4  ,56%
Istanbul,Marmara,Megacity,2021,10,Autumn,14.44,47.29,15840900,6152.29,17975.85,High,41.0,4767602.0,11.36,9.29,45.13,20:00,11.0014,"78,6",30.6 mm,₺1.87,"533,867",  3.2  ,56%
Hatay,Mediterranean,Large City,2020,4,Spring,24.98,80.77,1609856,1167.75,9620.03,Low,6.0,543632.0,36.79,12.54,,20:00,0.5884,"8,3",65.1 mm,₺0.76,"555,809",  2.7  ,64%
Erzurum,Eastern Anatolia,Medium City,2023,10,Autumn,7.57,70.96,762321,302.06,8077.58,Low,3.0,248136.0,39.16,13.57,19.73,18:00,0.3138,"39,7",169.5 mm,₺1.66,"54,827",  9.8  ,94%
Van,Eastern Anatolia,Medium City,2018,12,Winter,-7.05,53.5,1126384,2142.46,11198.29,Low,2.0,410247.0,23.95,11.22,24.95,08:00,0.5863,,,₺0.74,"806,592",  8.9  ,63%
Balıkesir,Marmara,Medium City,2023,4,Spring,17.81,81.19,1264958,283.84,7522.44,Low,3.0,466918.0,12.78,8.46,23.31,21:00,0.5589,"47,3",27.1 mm,₺1.5,,  7.2  ,42%
Afyonkarahisar,Aegean,Small City,2021,7,Summer,37.06,54.94,734000,452.13,10435.21,Low,2.0,234697.0,41.25,5.6,71.61,19:00,0.4165,,217.7 mm,₺0.67,"228,884",  6.9  ,50%
Izmir,Aegean,Megacity,2018,8,Summer,36.39,43.6,4394694,1377.2,16288.49,High,11.0,1556729.0,5.49,7.14,25.87,20:00,3.7817,"19,0",268.1 mm,₺2.33,"123,620",  7.2  ,74%
Mersin,Mediterranean,Large City,2020,7,Summer,36.8,61.42,1936586,769.65,13596.6,Medium,5.0,671597.0,11.31,11.51,20.57,10:00,1.2767,"50,1",49.6 mm,₺0.94,"672,074",  2.1  ,80%
Manisa,Aegean,Medium City,2015,5,Spring,22.47,53.11,1452881,380.5,11011.31,Medium,5.0,548825.0,19.53,11.58,62.51,18:00,0.6892,"55,5",204.4 mm,₺2.24,"516,030",  7.8  ,62%
Kayseri,Central Anatolia,Large City,2016,10,Autumn,12.16,66.16,1441523,1646.04,14731.53,Medium,3.0,512227.0,42.89,19.79,34.46,08:00,0.6449,"70,0",199.0 mm,₺2.5,"804,078",  10.2  ,80%
Mugla,Aegean,Medium City,2021,12,Winter,3.2,43.91,1012321,458.35,6495.33,Low,3.0,318052.0,40.71,17.26,26.86,08:00,0.6987,"71,5",196.1 mm,₺2.28,"576,122",  7.3  ,61%
Malatya,Eastern Anatolia,Medium City,2018,9,Autumn,6.96,59.14,781118,238.7,7335.82,Low,1.0,219701.0,5.65,13.88,10.08,20:00,0.3577,"62,7",89.2 mm,,"391,139",  3.3  ,76%
Gaziantep,Southeastern Anatolia,Large City,2017,1,Winter,4.99,46.67,2101263,598.17,14310.79,High,,626874.0,42.89,9.8,33.76,10:00,1.6793,"37,0",286.8 mm,₺1.2,"49,342",  7.5  ,
Kahramanmaras,Mediterranean,Medium City,2018,4,Spring,26.89,78.65,1178234,451.48,9123.44,Low,4.0,357327.0,6.49,7.72,52.6,18:00,0.414,"52,1",256.8 mm,₺1.57,"233,018",  2.9  ,98%
Balıkesir,Marmara,Medium City,2023,3,Spring,18.32,76.72,1264958,275.23,7297.26,Low,3.0,444626.0,40.64,17.2,26.17,08:00,0.4604,"46,9",216.6 mm,₺1.68,"780,177",  7.1  ,32%
Erzurum,Eastern Anatolia,Medium City,2017,8,Summer,,82.71,762321,273.23,8559.31,Low,3.0,221264.0,33.58,16.39,43.4,08:00,0.4156,,293.4 mm,₺0.94,"325,906",  4.0  ,88%
Ankara,Central Anatolia,Megacity,2018,8,Summer,23.94,56.18,5639076,5641.01,17342.67,High,17.0,1875984.0,5.18,9.7,31.08,08:00,5.0194,"7,7",15.2 mm,₺1.76,"93,459",  4.6  ,81%
Van,Eastern Anatolia,Medium City,2018,5,Spring,11.64,72.23,1126384,262.67,10225.96,Low,2.0,411123.0,33.85,7.35,57.2,09:00,0.3937,"13,2",53.2 mm,₺2.34,"125,613",  11.2  ,57%
Denizli,Aegean,Medium City,2019,9,Autumn,21.75,78.68,1062840,332.47,14144.21,Medium,4.0,301845.0,21.79,6.45,41.14,21:00,0.1543,"70,6",147.4 mm,₺1.13,"312,288",  10.2  ,98%
Balıkesir,Marmara,Medium City,2015,2,Winter,,61.26,1264958,546.92,8597.42,Low,5.0,365453.0,23.83,17.7,35.34,21:00,0.7401,"34,8",37.8 mm,₺1.97,"128,253",  3.9  ,40%
Ankara,Central Anatolia,Megacity,2021,12,Winter,-5.83,53.67,5639076,4066.29,19839.42,High,15.0,2087272.0,15.19,,39.54,09:00,5.0757,"38,2",187.4 mm,₺0.54,"254,596",  8.9  ,93%
Canakkale,Marmara,Small City,2019,2,Winter,2.29,47.35,542000,220.28,8468.16,Low,2.0,,25.97,15.0,69.19,09:00,0.3826,"46,9",142.8 mm,₺1.06,"837,598",  11.0  ,33%
Ankara,Central Anatolia,Megacity,2020,9,Autumn,13.57,50.15,5639076,1873.65,17685.21,High,15.0,1658229.0,37.37,19.11,14.63,18:00,3.7741,"22,8",84.7 mm,₺2.28,"215,289",  4.3  ,70%
Diyarbakir,Southeastern Anatolia,Large City,2021,10,Autumn,19.65,41.95,1801268,465.88,10026.31,Low,4.0,529483.0,,5.37,17.15,20:00,0.8266,"56,6",143.9 mm,₺1.89,"883,215",  9.5  ,52%
Eskisehir,Central Anatolia,Medium City,2020,4,Spring,14.18,83.62,882456,611.67,13246.75,Medium,4.0,304957.0,26.29,9.38,51.71,19:00,0.4118,"47,2",74.0 mm,₺1.43,"617,256",  6.7  ,43%
Denizli,Aegean,Medium City,2017,1,Winter,4.05,68.35,1062840,270.92,15515.67,Medium,2.0,314770.0,26.29,11.03,17.69,18:00,0.7119,"8,8",53.3 mm,₺0.92,"463,625",  10.4  ,57%
Mugla,Aegean,Medium City,2015,4,Spring,,40.38,1012321,790.77,10393.97,Low,4.0,284410.0,33.64,8.33,40.63,20:00,0.3215,"59,2",193.6 mm,,"807,057",  7.8  ,46%
Bursa,Marmara,Large City,2022,12,Winter,2.83,49.81,3056120,4250.8,19342.49,High,8.0,862378.0,18.86,18.18,28.73,21:00,2.6541,"45,8",119.3 mm,₺1.05,"311,338",  10.5  ,89%
Denizli,Aegean,Medium City,2019,8,Summer,35.78,66.08,1062840,306.23,,Medium,4.0,339025.0,37.7,16.52,70.97,19:00,0.6442,"45,0",11.4 mm,₺1.32,"609,781",  5.8  ,93%
Kocaeli,Marmara,Large City,2016,7,Summer,30.84,40.78,2031963,3639.37,,High,,771220.0,36.6,10.64,71.46,20:00,1.8048,"79,5",263.7 mm,₺0.71,"489,401",,46%
Diyarbakir,Southeastern Anatolia,Large City,2018,2,Winter,9.04,40.56,1801268,372.72,11504.93,Low,5.0,681852.0,39.8,7.35,68.94,18:00,1.1223,,109.6 mm,₺2.43,"616,543",  5.5  ,70%
Mersin,Mediterranean,Large City,2019,1,Winter,6.3,51.03,1936586,1948.22,14544.88,Medium,4.0,680348.0,29.43,11.88,24.57,18:00,1.2906,"20,5",286.7 mm,₺0.8,"864,281",  3.9  ,69%
Canakkale,Marmara,Small City,2015,7,Summer,34.53,66.0,542000,424.76,13179.07,Low,3.0,166225.0,25.91,9.37,70.42,08:00,0.3028,"29,2",45.9 mm,₺2.24,"835,302",  10.4  ,
Bursa,Marmara,Large City,2022,7,Summer,28.05,44.12,3056120,732.16,19231.71,High,10.0,1061321.0,11.37,10.58,70.1,10:00,3.2529,"56,0",284.8 mm,₺0.91,"510,807",  6.1  ,46%
Canakkale,Marmara,Small City,2020,11,Autumn,14.49,69.96,542000,168.9,12349.79,Low,2.0,188490.0,15.23,11.11,24.74,18:00,0.2105,"24,6",35.4 mm,₺2.22,"153,820",  3.8  ,37%
Malatya,Eastern Anatolia,Medium City,2020,8,Summer,22.95,45.4,781118,462.34,9057.44,Low,2.0,264991.0,42.87,17.71,36.08,09:00,0.4689,"77,4",206.4 mm,₺2.46,"473,589",  6.9  ,52%
Mugla,Aegean,Medium City,2023,1,Winter,4.35,71.01,1012321,219.91,7786.83,Low,3.0,357418.0,40.86,14.54,69.67,19:00,0.5863,"66,3",245.7 mm,₺2.48,"54,768",  11.4  ,75%
Canakkale,Marmara,Small City,2018,8,Summer,29.12,82.06,542000,145.48,10336.71,Low,3.0,193046.0,26.12,12.92,33.32,19:00,0.2988,"27,2",258.4 mm,₺0.9,"864,833",  8.8  ,43%
Malatya,Eastern Anatolia,Medium City,2015,8,Summer,27.57,54.89,781118,289.48,7747.49,Low,1.0,,23.23,11.87,21.31,08:00,0.3731,,176.2 mm,₺1.01,"730,656",  8.3  ,46%
Ankara,Central Anatolia,Megacity,2022,5,Spring,12.95,81.5,5639076,1530.38,16835.85,High,16.0,1678099.0,17.16,10.72,56.99,09:00,3.3419,"76,8",,,"539,509",  2.6  ,97%
Diyarbakir,Southeastern Anatolia,Large City,2018,4,Spring,24.67,81.94,1801268,1229.48,7743.93,Low,6.0,589950.0,27.87,18.41,71.43,20:00,1.8416,"56,7",99.9 mm,,"411,253",  4.6  ,54%
Izmir,Aegean,Megacity,2021,4,Spring,,56.85,4394694,893.12,,High,,1511643.0,39.1,14.38,71.87,18:00,2.3816,"35,1",217.7 mm,₺0.99,"165,881",  8.9  ,61%
Bursa,Marmara,Large City,2016,10,Autumn,15.1,46.49,3056120,2198.72,19614.99,High,8.0,1044079.0,29.76,5.83,54.53,09:00,1.6939,"77,2",53.9 mm,₺2.43,"96,194",  11.8  ,64%
Sakarya,Marmara,Medium City,2018,8,Summer,29.66,63.25,1003000,438.84,13446.88,Medium,3.0,324825.0,16.4,11.94,24.2,10:00,0.6526,"24,9",210.2 mm,₺1.91,"704,148",  7.0  ,73%
Ankara,Central Anatolia,Megacity,2023,2,Winter,-3.19,76.88,5639076,1319.76,15329.31,High,15.0,1827477.0,44.79,19.5,26.93,09:00,5.443,"62,3",21.0 mm,₺1.36,"324,172",  2.3  ,
Van,Eastern Anatolia,Medium City,2019,2,Winter,-8.78,65.41,1126384,545.26,7487.66,Low,2.0,359827.0,28.45,18.79,14.49,18:00,0.5708,"52,4",199.9 mm,₺1.06,"203,215",  5.9  ,91%
Adana,Mediterranean,Large City,2021,10,Autumn,19.94,82.3,2237940,2499.78,19001.3,High,7.0,655150.0,7.99,5.75,17.57,18:00,1.3977,"63,3",169.2 mm,,"658,896",  5.8  ,95%
Mugla,Aegean,Medium City,2023,2,Winter,6.48,69.53,1012321,405.95,7889.26,Low,2.0,359760.0,,15.8,24.24,,0.678,"40,3",122.6 mm,₺0.8,"869,753",  5.6  ,89%
Eskisehir,Central Anatolia,Medium City,2019,12,Winter,-1.82,54.02,882456,737.58,,Medium,4.0,296539.0,32.21,7.28,20.98,19:00,0.5805,"43,9",291.2 mm,₺1.44,"450,157",  3.0  ,82%
Van,Eastern Anatolia,Medium City,2023,8,Summer,,,1126384,1846.77,8440.99,Low,3.0,395380.0,30.16,7.29,54.03,,0.5621,"6,0",250.0 mm,₺2.21,"113,451",  3.6  ,33%
Denizli,Aegean,Medium City,2016,3,Spring,19.62,68.65,1062840,299.36,14260.31,Medium,2.0,325173.0,20.2,17.58,28.8,19:00,0.4434,"62,5",,₺0.6,"845,307",  9.4  ,97%
